predecessor_id|predecessor_file|replacement_id|replacement_file
2102.07344|d0051.response|1805.02103|d0071.response
2102.07684|d0052.response|2009.02207|d0072.response
2102.12736|d0011.response|2202.00871|d0017.response
2102.13653|d0053.response|1809.04564|d0073.response
2103.00222|d0067.response|2011.10443|d0074.response
2103.03102|d0054.response|2203.01323|d0075.response
2103.06490|d0049.response|1911.00234|d0076.response
2103.13342|d0008.response|2106.03820|d0007.response
2103.16938|d0056.response|2201.12170|d0077.response
2104.13818|d0057.response|1908.06077|d0078.response
2106.01072|d0060.response|2012.15788|d0079.response
2106.02249|d0068.response|2112.01953|d0080.response
2106.08943|d0013.response|2301.10500|d0018.response
2106.14997|d0014.response|2101.12365|d0016.response
2107.01273|d0061.response|2011.09052|d0081.response
2107.10443|d0005.response|2112.05224|d0006.response
2108.08647|d0069.response|2005.01026|d0082.response
2109.02344|d0062.response|2308.10522|d0087.response
2109.03890|d0070.response|2310.03131|d0083.response
2110.13400|d0012.response|2301.10500|d0018.response
2111.03536|d0064.response|2103.07364|d0084.response
2112.06410|d0065.response|2004.01584|d0085.response
2112.13121|d0066.response|2208.01545|d0086.response
