ssri_id,mao_id,falsely_inherited_classes
D02362,D00346,CI
D02362,D00505,CI
D02362,D00826,CI
D02362,D01097,CI
D02362,D01501,CI
D02362,D01888,CI
D02362,D02002,CI
D02362,D02559,CI
D02362,D02560,CI
D02362,D02561,CI
D02362,D02563,CI
D02362,D02564,CI
D02362,D02579,CI
D02362,D02580,CI
D02362,D02581,CI
D02362,D03239,CI
D02362,D03248,CI
D02362,D03409,CI
D02362,D03733,CI
D02362,D04092,CI
D02362,D04681,CI
D02362,D05033,CI
D02362,D05039,CI
D02362,D05040,CI
D02362,D07337,CI
D02362,D07338,CI
D02362,D08085,CI
D02362,D08349,CI
D02362,D08392,CI
D02362,D08393,CI
D02362,D08453,CI
D02362,D08469,CI
D02362,D08625,CI
D02362,D09773,CI
D02362,D10158,CI
D02362,D10829,CI
