id1,id2,classes,source_line
D00326,D00824,P,2
D00326,D02260,P,3
D00326,D02567,P,5
D00326,D05374,P,7
D00326,D05375,P,8
D00346,D00785,CI,10
D00346,D01501,P,13
D00346,D02002,P,14
D00346,D02562,CI,16
D00346,D02564,P,17
D00346,D03731,CI,19
D00346,D08453,P,22
D00346,D09773,P,23
D00346,D10191,CI,24
D00505,D00785,CI,25
D00505,D02562,CI,29
D00505,D03731,CI,31
D00505,D10191,CI,34
D00785,D00826,CI,42
D00785,D01097,CI,43
D00785,D01501,CI,44
D00785,D01888,CI,45
D00785,D02002,CI,46
D00785,D02559,CI,50
D00785,D02560,CI,51
D00785,D02561,CI,52
D00785,D02562,CI,53
D00785,D02563,CI,54
D00785,D02564,CI,55
D00785,D02579,CI,57
D00785,D02580,CI,58
D00785,D02581,CI,59
D00785,D03239,CI,61
D00785,D03248,CI,62
D00785,D03409,CI,63
D00785,D03731,CI,65
D00785,D03733,CI,66
D00785,D04092,CI,67
D00785,D04681,CI,69
D00785,D05033,CI,70
D00785,D05039,CI,71
D00785,D05040,CI,72
D00785,D07337,CI,77
D00785,D07338,CI,78
D00785,D08085,CI,83
D00785,D08349,CI,84
D00785,D08392,CI,85
D00785,D08393,CI,86
D00785,D08453,CI,87
D00785,D08469,CI,88
D00785,D08625,CI,89
D00785,D09773,CI,90
D00785,D10158,CI,91
D00785,D10191,CI,92
D00785,D10829,CI,93
D00822,D00824,P,95
D00822,D02260,P,96
D00822,D02567,P,98
D00822,D05374,P,100
D00822,D05375,P,101
D00823,D00824,P,104
D00823,D02260,P,105
D00823,D02567,P,107
D00823,D05374,P,109
D00823,D05375,P,110
D00824,D00825,P,118
D00824,D02260,P,124
D00824,D02360,P,125
D00824,D02362,P,126
D00824,D02567,P,133
D00824,D02787,P,137
D00824,D03649,P,141
D00824,D04105,P,145
D00824,D05374,P,150
D00824,D05375,P,151
D00824,D05491,P,152
D00824,D06367,P,153
D00824,D07704,P,156
D00824,D07705,P,157
D00824,D07913,P,158
D00824,D07984,P,159
D00825,D02260,P,180
D00825,D02567,P,187
D00825,D05374,P,201
D00825,D05375,P,202
D00826,D02562,CI,220
D00826,D03731,CI,222
D00826,D10191,CI,225
D01097,D02562,CI,230
D01097,D03731,CI,232
D01097,D10191,CI,235
D01501,D02562,CI,241
D01501,D03731,CI,243
D01501,D10191,CI,246
D01888,D02562,CI,251
D01888,D03731,CI,253
D01888,D10191,CI,256
D02002,D02562,CI,262
D02002,D03731,CI,264
D02002,D10191,CI,267
D02260,D02360,P,281
D02260,D02362,P,282
D02260,D02567,P,289
D02260,D02787,P,293
D02260,D03649,P,297
D02260,D04105,P,301
D02260,D05374,P,306
D02260,D05375,P,307
D02260,D05491,P,308
D02260,D06367,P,309
D02260,D07704,P,312
D02260,D07705,P,313
D02260,D07913,P,314
D02260,D07984,P,315
D02360,D02567,P,331
D02360,D05374,P,333
