ssri_id,mao_id,included,classes,source_line
D00326,D00346,false,,
D00326,D00505,false,,
D00326,D00785,true,CI,1
D00326,D00826,false,,
D00326,D01097,false,,
D00326,D01501,false,,
D00326,D01888,false,,
D00326,D02002,false,,
D00326,D02559,false,,
D00326,D02560,false,,
D00326,D02561,false,,
D00326,D02562,true,CI,4
D00326,D02563,false,,
D00326,D02564,false,,
D00326,D02579,false,,
D00326,D02580,false,,
D00326,D02581,false,,
D00326,D03239,false,,
D00326,D03248,false,,
D00326,D03409,false,,
D00326,D03731,true,CI,6
D00326,D03733,false,,
D00326,D04092,false,,
D00326,D04681,false,,
D00326,D05033,false,,
D00326,D05039,false,,
D00326,D05040,false,,
D00326,D07337,false,,
D00326,D07338,false,,
D00326,D08085,false,,
D00326,D08349,false,,
D00326,D08392,false,,
D00326,D08393,false,,
D00326,D08453,false,,
D00326,D08469,false,,
D00326,D08625,false,,
D00326,D09773,false,,
D00326,D10158,false,,
D00326,D10191,true,CI,9
D00326,D10829,false,,
D00822,D00346,false,,
D00822,D00505,false,,
D00822,D00785,true,CI,94
D00822,D00826,false,,
D00822,D01097,false,,
D00822,D01501,false,,
D00822,D01888,false,,
D00822,D02002,false,,
D00822,D02559,false,,
D00822,D02560,false,,
D00822,D02561,false,,
D00822,D02562,true,CI,97
D00822,D02563,false,,
D00822,D02564,false,,
D00822,D02579,false,,
D00822,D02580,false,,
D00822,D02581,false,,
D00822,D03239,false,,
D00822,D03248,false,,
D00822,D03409,false,,
D00822,D03731,true,CI,99
D00822,D03733,false,,
D00822,D04092,false,,
D00822,D04681,false,,
D00822,D05033,false,,
D00822,D05039,false,,
D00822,D05040,false,,
D00822,D07337,false,,
D00822,D07338,false,,
D00822,D08085,false,,
D00822,D08349,false,,
D00822,D08392,false,,
D00822,D08393,false,,
D00822,D08453,false,,
D00822,D08469,false,,
D00822,D08625,false,,
D00822,D09773,false,,
D00822,D10158,false,,
D00822,D10191,true,CI,102
D00822,D10829,false,,
D00823,D00346,false,,
D00823,D00505,false,,
D00823,D00785,true,CI,103
D00823,D00826,false,,
D00823,D01097,false,,
D00823,D01501,false,,
D00823,D01888,false,,
D00823,D02002,false,,
D00823,D02559,false,,
D00823,D02560,false,,
D00823,D02561,false,,
D00823,D02562,true,CI,106
D00823,D02563,false,,
D00823,D02564,false,,
D00823,D02579,false,,
D00823,D02580,false,,
D00823,D02581,false,,
D00823,D03239,false,,
D00823,D03248,false,,
D00823,D03409,false,,
D00823,D03731,true,CI,108
D00823,D03733,false,,
D00823,D04092,false,,
D00823,D04681,false,,
D00823,D05033,false,,
D00823,D05039,false,,
D00823,D05040,false,,
D00823,D07337,false,,
D00823,D07338,false,,
D00823,D08085,false,,
D00823,D08349,false,,
D00823,D08392,false,,
D00823,D08393,false,,
D00823,D08453,false,,
D00823,D08469,false,,
D00823,D08625,false,,
D00823,D09773,false,,
D00823,D10158,false,,
D00823,D10191,true,CI,111
D00823,D10829,false,,
D00824,D00346,true,CI,113
D00824,D00505,true,CI,114
D00824,D00785,true,CI,115
D00824,D00826,true,CI,119
D00824,D01097,true,CI,120
D00824,D01501,true,CI,121
D00824,D01888,true,CI,122
D00824,D02002,true,CI,123
D00824,D02559,true,CI,127
D00824,D02560,true,CI,128
D00824,D02561,true,CI,129
D00824,D02562,true,"CI,P",130
D00824,D02563,true,CI,131
D00824,D02564,true,CI,132
D00824,D02579,true,CI,134
D00824,D02580,true,CI,135
D00824,D02581,true,CI,136
D00824,D03239,true,CI,138
D00824,D03248,true,CI,139
D00824,D03409,true,CI,140
D00824,D03731,true,CI,142
D00824,D03733,true,CI,143
D00824,D04092,true,CI,144
D00824,D04681,true,CI,146
D00824,D05033,true,CI,147
D00824,D05039,true,CI,148
D00824,D05040,true,CI,149
D00824,D07337,true,CI,154
D00824,D07338,true,CI,155
D00824,D08085,true,CI,160
D00824,D08349,true,CI,161
D00824,D08392,true,CI,162
D00824,D08393,true,CI,163
D00824,D08453,true,CI,164
D00824,D08469,true,CI,165
D00824,D08625,true,CI,166
D00824,D09773,true,CI,167
D00824,D10158,true,CI,168
D00824,D10191,true,CI,169
D00824,D10829,true,CI,170
D00825,D00346,true,CI,171
D00825,D00505,true,CI,172
D00825,D00785,true,CI,173
D00825,D00826,true,CI,175
D00825,D01097,true,CI,176
D00825,D01501,true,CI,177
D00825,D01888,true,CI,178
D00825,D02002,true,CI,179
D00825,D02559,true,CI,181
D00825,D02560,true,CI,182
D00825,D02561,true,CI,183
D00825,D02562,true,CI,184
D00825,D02563,true,CI,185
D00825,D02564,true,CI,186
D00825,D02579,true,CI,188
D00825,D02580,true,CI,189
D00825,D02581,true,CI,190
D00825,D03239,true,CI,191
D00825,D03248,true,CI,192
D00825,D03409,true,CI,193
D00825,D03731,true,CI,194
D00825,D03733,true,CI,195
D00825,D04092,true,CI,196
D00825,D04681,true,CI,197
D00825,D05033,true,CI,198
D00825,D05039,true,CI,199
D00825,D05040,true,CI,200
D00825,D07337,true,CI,203
D00825,D07338,true,CI,204
D00825,D08085,true,CI,205
D00825,D08349,true,CI,206
D00825,D08392,true,CI,207
D00825,D08393,true,CI,208
D00825,D08453,true,CI,209
D00825,D08469,true,CI,210
D00825,D08625,true,CI,211
D00825,D09773,true,CI,212
D00825,D10158,true,CI,213
D00825,D10191,true,CI,214
D00825,D10829,true,CI,215
D02260,D00346,true,CI,269
D02260,D00505,true,CI,270
D02260,D00785,true,CI,271
D02260,D00826,true,CI,276
D02260,D01097,true,CI,277
D02260,D01501,true,CI,278
D02260,D01888,true,CI,279
D02260,D02002,true,CI,280
D02260,D02559,true,CI,283
D02260,D02560,true,CI,284
D02260,D02561,true,CI,285
D02260,D02562,true,CI,286
D02260,D02563,true,CI,287
D02260,D02564,true,CI,288
D02260,D02579,true,CI,290
D02260,D02580,true,CI,291
D02260,D02581,true,CI,292
D02260,D03239,true,CI,294
D02260,D03248,true,CI,295
D02260,D03409,true,CI,296
D02260,D03731,true,CI,298
D02260,D03733,true,CI,299
D02260,D04092,true,CI,300
D02260,D04681,true,CI,302
D02260,D05033,true,CI,303
D02260,D05039,true,CI,304
D02260,D05040,true,CI,305
D02260,D07337,true,CI,310
D02260,D07338,true,CI,311
D02260,D08085,true,CI,316
D02260,D08349,true,CI,317
D02260,D08392,true,CI,318
D02260,D08393,true,CI,319
D02260,D08453,true,CI,320
D02260,D08469,true,CI,321
D02260,D08625,true,CI,322
D02260,D09773,true,CI,323
D02260,D10158,true,CI,324
D02260,D10191,true,CI,325
D02260,D10829,true,CI,326
D02360,D00346,false,,
D02360,D00505,false,,
D02360,D00785,true,CI,327
D02360,D00826,false,,
D02360,D01097,false,,
D02360,D01501,false,,
D02360,D01888,false,,
D02360,D02002,false,,
D02360,D02559,false,,
D02360,D02560,false,,
D02360,D02561,false,,
D02360,D02562,true,CI,330
D02360,D02563,false,,
D02360,D02564,false,,
D02360,D02579,false,,
D02360,D02580,false,,
D02360,D02581,false,,
D02360,D03239,false,,
D02360,D03248,false,,
D02360,D03409,false,,
D02360,D03731,true,CI,332
D02360,D03733,false,,
D02360,D04092,false,,
D02360,D04681,false,,
D02360,D05033,false,,
D02360,D05039,false,,
D02360,D05040,false,,
D02360,D07337,false,,
D02360,D07338,false,,
D02360,D08085,false,,
D02360,D08349,false,,
D02360,D08392,false,,
D02360,D08393,false,,
D02360,D08453,false,,
D02360,D08469,false,,
D02360,D08625,false,,
D02360,D09773,false,,
D02360,D10158,false,,
D02360,D10191,true,CI,335
D02360,D10829,false,,
D02362,D00346,false,,
D02362,D00505,false,,
D02362,D00785,true,CI,336
D02362,D00826,false,,
D02362,D01097,false,,
D02362,D01501,false,,
D02362,D01888,false,,
D02362,D02002,false,,
D02362,D02559,false,,
D02362,D02560,false,,
D02362,D02561,false,,
D02362,D02562,true,CI,339
D02362,D02563,false,,
D02362,D02564,false,,
D02362,D02579,false,,
D02362,D02580,false,,
D02362,D02581,false,,
D02362,D03239,false,,
D02362,D03248,false,,
D02362,D03409,false,,
D02362,D03731,true,CI,341
D02362,D03733,false,,
D02362,D04092,false,,
D02362,D04681,false,,
D02362,D05033,false,,
D02362,D05039,false,,
D02362,D05040,false,,
D02362,D07337,false,,
D02362,D07338,false,,
D02362,D08085,false,,
D02362,D08349,false,,
D02362,D08392,false,,
D02362,D08393,false,,
D02362,D08453,false,,
D02362,D08469,false,,
D02362,D08625,false,,
D02362,D09773,false,,
D02362,D10158,false,,
D02362,D10191,true,CI,344
D02362,D10829,false,,
D02567,D00346,true,CI,456
D02567,D00505,true,CI,457
D02567,D00785,true,CI,458
D02567,D00826,true,CI,463
D02567,D01097,true,CI,464
D02567,D01501,true,CI,465
D02567,D01888,true,CI,466
D02567,D02002,true,CI,467
D02567,D02559,true,CI,471
D02567,D02560,true,CI,472
D02567,D02561,true,CI,473
D02567,D02562,true,CI,474
D02567,D02563,true,CI,475
D02567,D02564,true,CI,476
D02567,D02579,true,CI,477
D02567,D02580,true,CI,478
D02567,D02581,true,CI,479
D02567,D03239,true,CI,481
D02567,D03248,true,CI,482
D02567,D03409,true,CI,483
