ssri_id,mao_id,classes
D00326,D00785,CI
D00326,D02562,CI
D00326,D03731,CI
D00326,D10191,CI
D00822,D00785,CI
D00822,D02562,CI
D00822,D03731,CI
D00822,D10191,CI
D00823,D00785,CI
D00823,D02562,CI
D00823,D03731,CI
D00823,D10191,CI
D00824,D00346,CI
D00824,D00505,CI
D00824,D00785,CI
D00824,D00826,CI
D00824,D01097,CI
D00824,D01501,CI
D00824,D01888,CI
D00824,D02002,CI
D00824,D02559,CI
D00824,D02560,CI
D00824,D02561,CI
D00824,D02562,"CI,P"
D00824,D02563,CI
D00824,D02564,CI
D00824,D02579,CI
D00824,D02580,CI
D00824,D02581,CI
D00824,D03239,CI
D00824,D03248,CI
D00824,D03409,CI
D00824,D03731,CI
D00824,D03733,CI
D00824,D04092,CI
D00824,D04681,CI
D00824,D05033,CI
D00824,D05039,CI
D00824,D05040,CI
D00824,D07337,CI
D00824,D07338,CI
D00824,D08085,CI
D00824,D08349,CI
D00824,D08392,CI
D00824,D08393,CI
D00824,D08453,CI
D00824,D08469,CI
D00824,D08625,CI
D00824,D09773,CI
D00824,D10158,CI
D00824,D10191,CI
D00824,D10829,CI
D00825,D00346,CI
D00825,D00505,CI
D00825,D00785,CI
D00825,D00826,CI
D00825,D01097,CI
D00825,D01501,CI
D00825,D01888,CI
D00825,D02002,CI
D00825,D02559,CI
D00825,D02560,CI
D00825,D02561,CI
D00825,D02562,CI
D00825,D02563,CI
D00825,D02564,CI
D00825,D02579,CI
D00825,D02580,CI
D00825,D02581,CI
D00825,D03239,CI
D00825,D03248,CI
D00825,D03409,CI
D00825,D03731,CI
D00825,D03733,CI
D00825,D04092,CI
D00825,D04681,CI
D00825,D05033,CI
D00825,D05039,CI
D00825,D05040,CI
D00825,D07337,CI
D00825,D07338,CI
D00825,D08085,CI
D00825,D08349,CI
D00825,D08392,CI
D00825,D08393,CI
D00825,D08453,CI
D00825,D08469,CI
D00825,D08625,CI
D00825,D09773,CI
D00825,D10158,CI
D00825,D10191,CI
D00825,D10829,CI
D02260,D00346,CI
D02260,D00505,CI
D02260,D00785,CI
D02260,D00826,CI
D02260,D01097,CI
D02260,D01501,CI
D02260,D01888,CI
D02260,D02002,CI
D02260,D02559,CI
D02260,D02560,CI
D02260,D02561,CI
D02260,D02562,CI
D02260,D02563,CI
D02260,D02564,CI
D02260,D02579,CI
D02260,D02580,CI
D02260,D02581,CI
D02260,D03239,CI
D02260,D03248,CI
D02260,D03409,CI
D02260,D03731,CI
D02260,D03733,CI
D02260,D04092,CI
D02260,D04681,CI
D02260,D05033,CI
D02260,D05039,CI
D02260,D05040,CI
D02260,D07337,CI
D02260,D07338,CI
D02260,D08085,CI
D02260,D08349,CI
D02260,D08392,CI
D02260,D08393,CI
D02260,D08453,CI
D02260,D08469,CI
D02260,D08625,CI
D02260,D09773,CI
D02260,D10158,CI
D02260,D10191,CI
D02260,D10829,CI
D02360,D00785,CI
D02360,D02562,CI
D02360,D03731,CI
D02360,D10191,CI
D02362,D00785,CI
D02362,D02562,CI
D02362,D03731,CI
D02362,D10191,CI
D02567,D00346,CI
D02567,D00505,CI
D02567,D00785,CI
D02567,D00826,CI
D02567,D01097,CI
D02567,D01501,CI
D02567,D01888,CI
D02567,D02002,CI
D02567,D02559,CI
D02567,D02560,CI
D02567,D02561,CI
D02567,D02562,CI
D02567,D02563,CI
D02567,D02564,CI
D02567,D02579,CI
D02567,D02580,CI
D02567,D02581,CI
D02567,D03239,CI
D02567,D03248,CI
D02567,D03409,CI
D02567,D03731,CI
D02567,D03733,CI
D02567,D04092,CI
D02567,D04681,CI
D02567,D05033,CI
D02567,D05039,CI
D02567,D05040,CI
D02567,D07337,CI
D02567,D07338,CI
D02567,D08085,CI
D02567,D08349,CI
D02567,D08392,CI
D02567,D08393,CI
D02567,D08453,CI
D02567,D08469,CI
D02567,D08625,CI
D02567,D09773,CI
D02567,D10158,CI
D02567,D10191,CI
D02567,D10829,CI
D02787,D00785,CI
D02787,D02562,CI
D02787,D03731,CI
D02787,D10191,CI
D03649,D00785,CI
D03649,D02562,CI
D03649,D03731,CI
D03649,D10191,CI
D04105,D00785,CI
D04105,D02562,CI
D04105,D03731,CI
D04105,D10191,CI
D05374,D00346,CI
D05374,D00505,CI
D05374,D00785,CI
D05374,D00826,CI
D05374,D01097,CI
D05374,D01501,CI
D05374,D01888,CI
D05374,D02002,CI
D05374,D02559,CI
D05374,D02560,CI
D05374,D02561,CI
D05374,D02562,CI
D05374,D02563,CI
D05374,D02564,CI
D05374,D02579,CI
D05374,D02580,CI
D05374,D02581,CI
D05374,D03239,CI
D05374,D03248,CI
D05374,D03409,CI
D05374,D03731,CI
D05374,D03733,CI
D05374,D04092,CI
D05374,D04681,CI
D05374,D05033,CI
D05374,D05039,CI
D05374,D05040,CI
D05374,D07337,CI
D05374,D07338,CI
D05374,D08085,CI
D05374,D08349,CI
D05374,D08392,CI
D05374,D08393,CI
D05374,D08453,CI
D05374,D08469,CI
D05374,D08625,CI
D05374,D09773,CI
D05374,D10158,CI
D05374,D10191,CI
D05374,D10829,CI
D05375,D00346,CI
D05375,D00505,CI
D05375,D00785,CI
D05375,D00826,CI
D05375,D01097,CI
D05375,D01501,CI
D05375,D01888,CI
D05375,D02002,CI
D05375,D02559,CI
D05375,D02560,CI
D05375,D02561,CI
D05375,D02562,CI
D05375,D02563,CI
D05375,D02564,CI
D05375,D02579,CI
D05375,D02580,CI
D05375,D02581,CI
D05375,D03239,CI
D05375,D03248,CI
D05375,D03409,CI
D05375,D03731,CI
D05375,D03733,CI
D05375,D04092,CI
D05375,D04681,CI
D05375,D05033,CI
D05375,D05039,CI
D05375,D05040,CI
D05375,D07337,CI
D05375,D07338,CI
D05375,D08085,CI
D05375,D08349,CI
D05375,D08392,CI
D05375,D08393,CI
D05375,D08453,CI
D05375,D08469,CI
D05375,D08625,CI
D05375,D09773,CI
D05375,D10158,CI
D05375,D10191,CI
D05375,D10829,CI
D05491,D00785,CI
D05491,D02562,CI
D05491,D03731,CI
D05491,D10191,CI
D06367,D00785,CI
D06367,D02562,CI
D06367,D03731,CI
D06367,D10191,CI
D07704,D00785,CI
D07704,D02562,CI
D07704,D03731,CI
D07704,D10191,CI
D07705,D00785,CI
D07705,D02562,CI
D07705,D03731,CI
D07705,D10191,CI
D07913,D00785,CI
D07913,D02562,CI
D07913,D03731,CI
D07913,D10191,CI
D07984,D00785,CI
D07984,D02562,"CI,P"
D07984,D03731,CI
D07984,D10191,CI
