drug1,drug2,classes,source_line,mechanism,source_file_id
D00326,D00785,CI,1,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00326,D00824,P,2,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00326,D02260,P,3,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00326,D02562,CI,4,unclassified,d0044
D00326,D02567,P,5,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0044
D00326,D03731,CI,6,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00326,D05374,P,7,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00326,D05375,P,8,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00326,D10191,CI,9,unclassified,d0044
D00346,D00785,CI,10,unclassified,d0044
D00346,D00824,CI,11,unclassified,d0044
D00346,D00825,CI,12,unclassified,d0044
D00346,D01501,P,13,unclassified,d0044
D00346,D02002,P,14,unclassified,d0044
D00346,D02260,CI,15,unclassified,d0044
D00346,D02562,CI,16,unclassified,d0044
D00346,D02564,P,17,unclassified,d0044
D00346,D02567,CI,18,unclassified,d0044
D00346,D03731,CI,19,unclassified,d0044
D00346,D05374,CI,20,unclassified,d0044
D00346,D05375,CI,21,unclassified,d0044
D00346,D08453,P,22,unclassified,d0044
D00346,D09773,P,23,unclassified,d0044
D00346,D10191,CI,24,unclassified,d0044
D00505,D00785,CI,25,Target: MAOB,d0044
D00505,D00824,CI,26,unclassified,d0044
D00505,D00825,CI,27,unclassified,d0044
D00505,D02260,CI,28,unclassified,d0044
D00505,D02562,CI,29,Target: MAOB,d0044
D00505,D02567,CI,30,unclassified,d0044
D00505,D03731,CI,31,Target: MAOB,d0044
D00505,D05374,CI,32,unclassified,d0044
D00505,D05375,CI,33,unclassified,d0044
D00505,D10191,CI,34,Target: MAOB / Enzyme-Target: MAOA,d0044
D00785,D00326,CI,35,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00785,D00346,CI,36,unclassified,d0044
D00785,D00505,CI,37,Target: MAOB,d0044
D00785,D00822,CI,38,Enzyme: CYP2D6 CYP3A4,d0044
D00785,D00823,CI,39,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00785,D00824,CI,40,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 CYP3A4,d0044
D00785,D00825,CI,41,Enzyme: CYP2B6 CYP3A4,d0044
D00785,D00826,CI,42,Target: MAOB,d0044
D00785,D01097,CI,43,Target: MAOB,d0044
D00785,D01501,CI,44,unclassified,d0044
D00785,D01888,CI,45,Target: MAOB,d0044
D00785,D02002,CI,46,unclassified,d0044
D00785,D02260,CI,47,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00785,D02360,CI,48,Enzyme: CYP2B6 CYP3A4,d0044
D00785,D02362,CI,49,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00785,D02559,CI,50,unclassified,d0044
D00785,D02560,CI,51,unclassified,d0044
D00785,D02561,CI,52,CYP inhibition: CYP2D6,d0044
D00785,D02562,CI,53,Target: MAOB,d0044
D00785,D02563,CI,54,unclassified,d0044
D00785,D02564,CI,55,Target: MAOB,d0044
D00785,D02567,CI,56,Enzyme: CYP2D6 CYP3A4 / CYP inhibition: CYP2D6,d0044
D00785,D02579,CI,57,Target: MAOB,d0044
D00785,D02580,CI,58,Target: MAOB,d0044
D00785,D02581,CI,59,unclassified,d0044
D00785,D02787,CI,60,unclassified,d0044
D00785,D03239,CI,61,Target: MAOB,d0044
D00785,D03248,CI,62,unclassified,d0044
D00785,D03409,CI,63,Target: MAOB,d0044
D00785,D03649,CI,64,unclassified,d0044
D00785,D03731,CI,65,Enzyme: CYP2B6 CYP2D6 CYP3A4 / Target: MAOB,d0044
D00785,D03733,CI,66,Target: MAOB,d0044
D00785,D04092,CI,67,Target: MAOB,d0044
D00785,D04105,CI,68,unclassified,d0044
D00785,D04681,CI,69,Target: MAOB,d0044
D00785,D05033,CI,70,Target: MAOB,d0044
D00785,D05039,CI,71,Enzyme: CYP2D6,d0044
D00785,D05040,CI,72,Enzyme: CYP2D6,d0044
D00785,D05374,CI,73,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00785,D05375,CI,74,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00785,D05491,CI,75,unclassified,d0044
D00785,D06367,CI,76,unclassified,d0044
D00785,D07337,CI,77,Target: MAOB,d0044
D00785,D07338,CI,78,Target: MAOB,d0044
D00785,D07704,CI,79,Enzyme: CYP2D6 CYP3A4,d0044
D00785,D07705,CI,80,Enzyme: CYP2D6 CYP3A4,d0044
D00785,D07913,CI,81,Enzyme: CYP2D6 CYP3A4 / CYP inhibition: CYP2D6,d0044
D00785,D07984,CI,82,Enzyme: CYP2D6 / CYP inhibition: CYP2D6 CYP3A4,d0044
D00785,D08085,CI,83,Target: MAOB,d0044
D00785,D08349,CI,84,Target: MAOB,d0044
D00785,D08392,CI,85,unclassified,d0044
D00785,D08393,CI,86,unclassified,d0044
D00785,D08453,CI,87,Target: MAOB,d0044
D00785,D08469,CI,88,Target: MAOB,d0044
D00785,D08625,CI,89,Target: MAOB,d0044
D00785,D09773,CI,90,unclassified,d0044
D00785,D10158,CI,91,Target: MAOB,d0044
D00785,D10191,CI,92,Target: MAOB,d0044
D00785,D10829,CI,93,Target: MAOB,d0044
D00822,D00785,CI,94,Enzyme: CYP2D6 CYP3A4,d0044
D00822,D00824,P,95,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6 CYP3A4,d0044
D00822,D02260,P,96,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00822,D02562,CI,97,unclassified,d0044
D00822,D02567,P,98,Enzyme: CYP3A4 CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0044
D00822,D03731,CI,99,Enzyme: CYP2D6 CYP3A4,d0044
D00822,D05374,P,100,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00822,D05375,P,101,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00822,D10191,CI,102,unclassified,d0044
D00823,D00785,CI,103,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
D00823,D00824,P,104,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00823,D02260,P,105,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0044
D00823,D02562,CI,106,unclassified,d0044
D00823,D02567,P,107,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2C19 CYP2D6,d0044
D00823,D03731,CI,108,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0044
