drug1,drug2,classes,source_line,mechanism,source_file_id
D00326,D00076,P,1,unclassified,d0049
D00326,D00095,P,2,unclassified,d0049
D00326,D00109,P,3,unclassified,d0049
D00326,D00126,P,4,Enzyme: CYP2C9,d0049
D00326,D00132,P,5,unclassified,d0049
D00326,D00136,P,6,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00228,P,7,Enzyme: CYP2D6 / Target: SLC6A4 / CYP inhibition: CYP2D6,d0049
D00326,D00252,P,8,unclassified,d0049
D00326,D00255,P,9,Enzyme: CYP2D6 CYP2C9 / CYP inhibition: CYP2D6,d0049
D00326,D00293,P,10,CYP inhibition: CYP2C19,d0049
D00326,D00295,P,11,CYP inhibition: CYP2D6,d0049
D00326,D00311,P,12,CYP inhibition: CYP3A,d0049
D00326,D00320,P,13,unclassified,d0049
D00326,D00348,P,14,CYP inhibition: CYP3A,d0049
D00326,D00415,P,15,unclassified,d0049
D00326,D00426,P,16,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00435,P,17,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00451,P,18,unclassified,d0049
D00326,D00512,P,19,Enzyme: CYP2C9,d0049
D00326,D00550,P,20,unclassified,d0049
D00326,D00563,P,21,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00570,"CI,P",22,Transporter inhibition: ABCB1,d0049
D00326,D00601,P,23,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00603,P,24,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00605,P,25,unclassified,d0049
D00326,D00619,P,26,Transporter inhibition: ABCB1,d0049
D00326,D00661,P,27,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00670,P,28,unclassified,d0049
D00326,D00674,P,29,Enzyme: CYP2C9 CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00675,P,30,unclassified,d0049
D00326,D00676,P,31,unclassified,d0049
D00326,D00677,P,32,unclassified,d0049
D00326,D00678,P,33,Enzyme: CYP2D6 / CYP inhibition: CYP2D6,d0049
D00326,D00754,P,34,unclassified,d0049
D00326,D00769,P,35,CYP inhibition: CYP2C19,d0049
