drug1,drug2,class,mechanism
dr:D03731,cpd:C06807,P,unclassified
dr:D03731,dr:D00059,P,unclassified
dr:D03731,dr:D00076,P,unclassified
dr:D03731,dr:D00095,P,unclassified
dr:D03731,dr:D00124,P,unclassified
dr:D03731,dr:D00136,P,Enzyme: CYP2D6 CYP3A4
dr:D03731,dr:D00139,P,unclassified
dr:D03731,dr:D00140,P,unclassified
dr:D03731,dr:D00197,P,unclassified
dr:D03731,dr:D00211,P,CYP induction: CYP3A4
dr:D03731,dr:D00216,P,unclassified
dr:D03731,dr:D00225,P,unclassified
dr:D03731,dr:D00228,CI,Enzyme: CYP2D6
dr:D03731,dr:D00252,P,Enzyme: CYP3A4 / CYP induction: CYP3A4
dr:D03731,dr:D00253,P,unclassified
dr:D03731,dr:D00265,P,unclassified
dr:D03731,dr:D00267,P,unclassified
dr:D03731,dr:D00270,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D03731,dr:D00276,P,Enzyme: CYP3A4 / CYP inhibition: CYP3A4
dr:D03731,dr:D00280,P,unclassified
dr:D03731,dr:D00281,P,unclassified
dr:D03731,dr:D00282,P,CYP inhibition: CYP3A4
dr:D03731,dr:D00283,P,Enzyme: CYP3A4
dr:D03731,dr:D00292,P,Enzyme: CYP3A4 / CYP induction: CYP3A4
dr:D03731,dr:D00293,P,Enzyme: CYP3A4
dr:D03731,dr:D00295,P,CYP inhibition: CYP2D6 CYP3A4
dr:D03731,dr:D00308,P,unclassified
dr:D03731,dr:D00311,P,unclassified
dr:D03731,dr:D00320,P,Enzyme: CYP3A4
dr:D03731,dr:D00322,P,CYP inhibition: CYP3A4
dr:D03731,dr:D00326,CI,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D03731,dr:D00336,P,Enzyme: CYP3A4
dr:D03731,dr:D00346,CI,unclassified
dr:D03731,dr:D00350,P,Enzyme: CYP3A4 / CYP inhibition: CYP3A4
dr:D03731,dr:D00365,P,unclassified
dr:D03731,dr:D00367,CI,unclassified
dr:D03731,dr:D00373,P,unclassified
dr:D03731,dr:D00387,P,Enzyme: CYP3A4
dr:D03731,dr:D00388,P,unclassified
dr:D03731,dr:D00390,P,unclassified
dr:D03731,dr:D00394,CI,unclassified
dr:D03731,dr:D00402,P,unclassified
dr:D03731,dr:D00403,P,unclassified
dr:D03731,dr:D00405,P,unclassified
dr:D03731,dr:D00415,CI,unclassified
dr:D03731,dr:D00416,P,unclassified
dr:D03731,dr:D00420,P,unclassified
dr:D03731,dr:D00435,P,Enzyme: CYP3A4 CYP2B6 CYP2D6
dr:D03731,dr:D00451,CI,unclassified
dr:D03731,dr:D00457,P,Enzyme: CYP3A4
dr:D03731,dr:D00474,P,unclassified
dr:D03731,dr:D00479,P,unclassified
dr:D03731,dr:D00481,P,unclassified
dr:D03731,dr:D00484,CI,unclassified
dr:D03731,dr:D00485,P,unclassified
dr:D03731,dr:D00493,P,unclassified
dr:D03731,dr:D00503,P,Enzyme: CYP2D6
dr:D03731,dr:D00505,CI,Target: MAOB
dr:D03731,dr:D00506,P,CYP induction: CYP2B6
dr:D03731,dr:D00511,P,unclassified
dr:D03731,dr:D00512,P,CYP induction: CYP2B6
dr:D03731,dr:D00514,P,Enzyme: CYP2D6
dr:D03731,dr:D00520,CI,unclassified
dr:D03731,dr:D00531,P,unclassified
dr:D03731,dr:D00550,P,Enzyme: CYP3A4
dr:D03731,dr:D00554,P,Enzyme: CYP3A4 / CYP inhibition: CYP3A4
dr:D03731,dr:D00559,P,unclassified
dr:D03731,dr:D00563,CI,Enzyme: CYP2D6 CYP3A4
dr:D03731,dr:D00593,P,unclassified
dr:D03731,dr:D00594,P,unclassified
dr:D03731,dr:D00604,P,unclassified
dr:D03731,dr:D00606,P,Enzyme: CYP3A4
dr:D03731,dr:D00607,P,unclassified
dr:D03731,dr:D00616,P,Enzyme: CYP3A4
dr:D03731,dr:D00619,P,Enzyme: CYP3A4 / CYP inhibition: CYP3A4
dr:D03731,dr:D00625,P,unclassified
dr:D03731,dr:D00632,P,unclassified
dr:D03731,dr:D00633,P,Enzyme-Target: MAOB
dr:D03731,dr:D00636,P,Enzyme: CYP3A4
dr:D03731,dr:D00640,P,Enzyme: CYP2D6 CYP3A4
dr:D03731,dr:D00665,P,unclassified
dr:D03731,dr:D00666,P,CYP inhibition: CYP2D6
dr:D03731,dr:D00668,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D03731,dr:D00669,P,unclassified
dr:D03731,dr:D00672,P,unclassified
dr:D03731,dr:D00675,CI,unclassified
dr:D03731,dr:D00676,CI,unclassified
dr:D03731,dr:D00677,P,Enzyme: CYP3A4
dr:D03731,dr:D00678,P,Enzyme: CYP2D6 CYP3A4
dr:D03731,dr:D00683,P,unclassified
dr:D03731,dr:D00684,P,unclassified
dr:D03731,dr:D00685,P,unclassified
dr:D03731,dr:D00686,P,unclassified
dr:D03731,dr:D00687,P,Enzyme: CYP3A4
dr:D03731,dr:D00688,P,unclassified
dr:D03731,dr:D00694,P,unclassified
dr:D03731,dr:D00701,P,CYP induction: CYP2B6
dr:D03731,dr:D00713,P,unclassified
dr:D03731,dr:D00714,P,unclassified
dr:D03731,dr:D00720,P,unclassified
dr:D03731,dr:D00722,P,Enzyme: CYP3A4
dr:D03731,dr:D00726,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D03731,dr:D00743,P,unclassified
dr:D03731,dr:D00744,P,unclassified
dr:D03731,dr:D00756,P,unclassified
dr:D03731,dr:D00765,P,unclassified
dr:D03731,dr:D00770,P,unclassified
dr:D03731,dr:D00776,P,unclassified
dr:D03731,dr:D00777,P,unclassified
dr:D03731,dr:D00780,P,Enzyme: CYP3A4 / CYP inhibition: CYP3A4
dr:D03731,dr:D00781,P,unclassified
dr:D03731,dr:D00784,P,unclassified
dr:D03731,dr:D00785,CI,Enzyme: CYP2B6 CYP2D6 CYP3A4 / Target: MAOB
dr:D03731,dr:D00787,P,unclassified
dr:D03731,dr:D00788,P,unclassified
dr:D03731,dr:D00789,P,Enzyme: CYP2D6 / CYP inhibition: CYP2D6
dr:D03731,dr:D00791,P,Enzyme: CYP2D6
