cve_id,path,matchCriteriaId,criteria,vulnerable,versionStartIncluding,versionStartExcluding,versionEndIncluding,versionEndExcluding
CVE-2001-1411,$.configurations[0].nodes[0].cpeMatch[0],786BB737-EA99-4EC6-B742-0C35BF2453F9,cpe:2.3:o:apple:mac_os_x:10.4.9:*:*:*:*:*:*:*,1,,,,
CVE-2001-1412,$.configurations[0].nodes[0].cpeMatch[0],786BB737-EA99-4EC6-B742-0C35BF2453F9,cpe:2.3:o:apple:mac_os_x:10.4.9:*:*:*:*:*:*:*,1,,,,
CVE-2002-1568,$.configurations[0].nodes[0].cpeMatch[0],180D07AE-C571-4DD6-837C-43E2A946007A,cpe:2.3:a:openssl:openssl:0.9.6e:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[3],01EA37BA-1583-4B74-8578-8ED3DAC7E28E,cpe:2.3:a:ghostview:ghostview:1.5:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[14],0FE2C974-BC5F-4D18-8B56-6E76CFC8237F,cpe:2.3:a:gv:gv:3.1.6:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[21],185BFE23-5F13-45A1-B514-21957A613799,cpe:2.3:a:gv:gv:3.5.8:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[4],21635C49-6F67-4852-A34B-6CA758D92F48,cpe:2.3:a:gv:gv:2.7.6:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[20],3A29A154-2CF6-441B-8715-84F49F21A15A,cpe:2.3:a:gv:gv:3.5.3:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[17],4655CA87-E507-4FAF-A848-C502BE8564FD,cpe:2.3:a:gv:gv:3.4.3:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[15],621BAE10-276D-44DA-A124-51D4A00E7552,cpe:2.3:a:gv:gv:3.2.4:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[8],6A2C2C2E-227C-477A-8E6B-D82C941A778F,cpe:2.3:a:gv:gv:2.7b4:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[2],7D3AC6EB-BEE8-404E-ABEE-3FCE9A9DEE36,cpe:2.3:a:ghostview:ghostview:1.4.1:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[7],81853A68-8286-4159-87FC-91CE94484DDE,cpe:2.3:a:gv:gv:2.7b3:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[12],8F698620-41A9-4058-B3A2-68134FDEACD0,cpe:2.3:a:gv:gv:3.0.4:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[13],9775BB2D-B945-4533-BBA7-2602CD4B2C0B,cpe:2.3:a:gv:gv:3.1.4:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[9],9B0FE26D-8B0B-4620-BC5B-6C0E0D635FA5,cpe:2.3:a:gv:gv:2.7b5:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[5],B2CDF1F6-AEA8-493B-AF8E-B06C2AFD0DCC,cpe:2.3:a:gv:gv:2.7b1:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[10],BDB7A45D-C67B-4D46-94AF-3BAA75C06157,cpe:2.3:a:gv:gv:2.9.4:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[16],CE42231C-7764-41ED-B7A3-641CFC58BBC8,cpe:2.3:a:gv:gv:3.4.2:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[11],D68136DD-B309-47D7-9320-D48EF6E0F9B9,cpe:2.3:a:gv:gv:3.0.0:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[1],D8C56CA2-6EAA-4F86-B637-69602FCA12BF,cpe:2.3:a:ghostview:ghostview:1.4:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[0],DA5F8E03-79D8-4C2B-AD85-59D23B5B202A,cpe:2.3:a:ghostview:ghostview:1.3:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[18],DAE9A7B0-6DF8-44BC-A9EC-7EB89AC91722,cpe:2.3:a:gv:gv:3.4.12:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[19],DB5E5D66-FF08-4B26-A2BD-421E7FFF73B2,cpe:2.3:a:gv:gv:3.5.2:*:*:*:*:*:*:*,1,,,,
CVE-2002-1569,$.configurations[0].nodes[0].cpeMatch[6],E062D50D-DEFA-45A6-B749-E3B7CAACD621,cpe:2.3:a:gv:gv:2.7b2:*:*:*:*:*:*:*,1,,,,
CVE-2003-0543,$.configurations[0].nodes[0].cpeMatch[1],45A518E8-21BE-4C5C-B425-410AB1208E9C,cpe:2.3:a:openssl:openssl:0.9.7:*:*:*:*:*:*:*,1,,,,
CVE-2003-0543,$.configurations[0].nodes[0].cpeMatch[0],B5E4742C-A983-4F00-B24F-AB280C0E876D,cpe:2.3:a:openssl:openssl:0.9.6:*:*:*:*:*:*:*,1,,,,
CVE-2003-0544,$.configurations[0].nodes[0].cpeMatch[1],45A518E8-21BE-4C5C-B425-410AB1208E9C,cpe:2.3:a:openssl:openssl:0.9.7:*:*:*:*:*:*:*,1,,,,
CVE-2003-0544,$.configurations[0].nodes[0].cpeMatch[0],B5E4742C-A983-4F00-B24F-AB280C0E876D,cpe:2.3:a:openssl:openssl:0.9.6:*:*:*:*:*:*:*,1,,,,
CVE-2003-0545,$.configurations[0].nodes[0].cpeMatch[1],45A518E8-21BE-4C5C-B425-410AB1208E9C,cpe:2.3:a:openssl:openssl:0.9.7:*:*:*:*:*:*:*,1,,,,
CVE-2003-0545,$.configurations[0].nodes[0].cpeMatch[0],B5E4742C-A983-4F00-B24F-AB280C0E876D,cpe:2.3:a:openssl:openssl:0.9.6:*:*:*:*:*:*:*,1,,,,
CVE-2003-0659,$.configurations[0].nodes[0].cpeMatch[26],02BE9817-E1AE-4619-8302-CA7AA4167F48,cpe:2.3:o:microsoft:windows_nt:4.0:sp3:workstation:*:*:*:*:*,1,,,,
CVE-2003-0659,$.configurations[0].nodes[0].cpeMatch[15],064F4E76-1B89-4FA5-97ED-64624285C014,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:enterprise_server:*:*:*:*:*,1,,,,
CVE-2003-0659,$.configurations[0].nodes[0].cpeMatch[16],089A953C-8446-4E6F-B506-430C38DF37B1,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:server:*:*:*:*:*,1,,,,
CVE-2003-0659,$.configurations[0].nodes[0].cpeMatch[34],12ED7363-6EEE-4688-A9B7-C5EB1107A7B4,cpe:2.3:o:microsoft:windows_nt:4.0:sp5:workstation:*:*:*:*:*,1,,,,
