cve_id,vulnerable_pairs,pending_exact
CVE-2001-1411,1,0
CVE-2001-1412,1,0
CVE-2002-1568,1,0
CVE-2002-1569,22,22
CVE-2003-0543,2,0
CVE-2003-0544,2,0
CVE-2003-0545,2,0
CVE-2003-0659,49,16
CVE-2003-0660,49,16
CVE-2003-0662,5,0
CVE-2003-0711,48,16
CVE-2003-0712,5,0
CVE-2003-0714,9,0
CVE-2003-0717,48,16
CVE-2003-0786,2,0
CVE-2003-0787,2,0
CVE-2003-0792,86,0
CVE-2003-0793,9,9
CVE-2003-0794,9,9
CVE-2003-0804,33,1
CVE-2003-0809,9,1
CVE-2003-0813,10,0
CVE-2003-0830,1,1
CVE-2003-0831,9,9
CVE-2003-0832,4,4
CVE-2003-0833,4,4
CVE-2003-0835,6,6
CVE-2003-0836,2,2
CVE-2003-0837,1,1
CVE-2003-0838,9,1
CVE-2003-0839,1,0
CVE-2003-0840,1,0
CVE-2003-0841,1,0
CVE-2003-0842,1,1
CVE-2003-0843,1,1
CVE-2003-0844,1,0
CVE-2003-0845,2,0
CVE-2003-0846,1,1
CVE-2003-0847,1,1
CVE-2003-0848,6,6
CVE-2003-0849,17,9
CVE-2003-0850,7,7
CVE-2003-0852,6,6
CVE-2003-0853,26,21
CVE-2003-0854,26,21
CVE-2003-0860,25,1
CVE-2003-0861,25,1
CVE-2003-0863,3,0
CVE-2003-0864,2,2
CVE-2003-0865,2,2
CVE-2003-0866,7,0
CVE-2003-0870,2,0
CVE-2003-0872,1,1
CVE-2003-0874,1,1
CVE-2003-0875,1,0
CVE-2003-0894,11,11
CVE-2003-0896,1,0
CVE-2003-0897,1,0
CVE-2003-0898,2,1
