hardware_product|firmware_product|registered_releases
atp100|atp100_firmware|4.60(*);5.10(*);5.20(*);5.30(*);5.31(*);5.35(*)
atp100w|atp100w_firmware|4.60(*);5.10(*);5.20(*);5.30(*)
atp200|atp200_firmware|4.60(*);5.10(*);5.20(*);5.30(*);5.35(*)
atp500|atp500_firmware|4.60(*);5.10(*);5.20(*);5.30(*);5.35(*)
atp700|atp700_firmware|4.60(*);5.10(*);5.20(*);5.30(*);5.35(*)
atp800|atp800_firmware|4.60(*);5.10(*);5.20(*);5.30(*);5.35(*)
usg_flex_100|usg_flex_100_firmware|4.60(*);5.00(*);5.01(*);5.10(*);5.20(*);5.35(*)
usg_flex_100w|usg_flex_100w_firmware|4.60(*);5.00(*);5.01(*);5.10(*);5.30(*);5.35(*)
usg_flex_200|usg_flex_200_firmware|4.60(*);5.00(*);5.01(*);5.20(*);5.30(*);5.35(*)
usg_flex_50|usg_flex_50_firmware|4.60(*);5.00(*);5.10(*);5.35(*)
usg_flex_500|usg_flex_500_firmware|4.60(*);5.00(*);5.01(*);5.10(*);5.20(*);5.30(*);5.35(*)
usg_flex_50w|usg_flex_50w_firmware|4.60(*);5.00(*);5.10(*);5.30(*);5.35(*)
usg_flex_700|usg_flex_700_firmware|4.60(*);5.00(*);5.10(*);5.20(*);5.30(*);5.35(*)
vpn100|vpn100_firmware|4.60(*);5.20(*);5.21(*);5.30(*)
vpn1000|vpn1000_firmware|4.60(*);5.20(*);5.21(*);5.30(*)
vpn300|vpn300_firmware|4.60(*);5.20(*);5.21(*);5.30(*)
vpn50|vpn50_firmware|4.60(*);5.20(*);5.21(*);5.30(*)
zywall_usg_100|zywall_usg_100_firmware|4.60(*);4.73(-)
zywall_usg_310|zywall_usg_310_firmware|4.60(*);4.73(-)
