result_id|evidence|lower_ug_l|upper_ug_l|hardness_state|hardness_mg_l|screen
STORET-1041824641|point|0.128|0.128|available|107|below_or_equal
STORET-1041824672|point|0.202|0.202|available|104|below_or_equal
STORET-1041826056|point|0.132|0.132|available|102|below_or_equal
STORET-1041862129|point|0.338|0.338|available|83|above
STORET-1041874644|point|0.136|0.136|available|69.4|below_or_equal
STORET-1044114710|point|0.176|0.176|available|113|below_or_equal
STORET-1045912464|point|0.359|0.359|available|35.9|above
STORET-1054044662|point|0.23|0.23|available|127|below_or_equal
STORET-1057288565|between_mdl_rl|0.038|0.16|available|94.7|below_or_equal
STORET-1057965798|point|0.119|0.119|available|95.4|below_or_equal
STORET-1060225649|between_mdl_rl|0.038|0.16|available|128|below_or_equal
STORET-1065757933|point|0.17|0.17|available|119|below_or_equal
STORET-1065760809|point|0.23|0.23|available|110|below_or_equal
STORET-1066063814|between_mdl_rl|0.2|0.63|available|81.5|crosses
STORET-1066064584|point|1.42|1.42|available|48.2|above
STORET-1066170487|unresolved_u_limit|NA|NA|available|124|unresolved_limit
STORET-1082077277|point|0.209|0.209|available|133|below_or_equal
STORET-1082080194|between_mdl_rl|0.033|0.14|withdrawn|NA|unresolved_hardness
STORET-1082082384|not_reported|NA|NA|available|56.6|not_reported
STORET-1082085489|not_reported|NA|NA|available|63.5|not_reported
STORET-1082091166|between_mdl_rl|0.045|0.18|available|112|below_or_equal
STORET-1082095885|between_mdl_rl|0.045|0.18|withdrawn|NA|unresolved_hardness
STORET-1082109657|point|0.247|0.247|available|116|below_or_equal
STORET-1082116102|between_mdl_rl|0.057|0.23|available|55.2|crosses
STORET-1082117874|point|0.332|0.332|withdrawn|NA|unresolved_hardness
STORET-1082120300|between_mdl_rl|0.033|0.14|available|105|below_or_equal
STORET-1082127515|between_mdl_rl|0.033|0.14|available|103|below_or_equal
STORET-1082130068|point|0.156|0.156|withdrawn|NA|unresolved_hardness
STORET-1082212819|between_mdl_rl|0.15|0.45|withdrawn|NA|unresolved_hardness
STORET-1082215938|point|0.492|0.492|available|100|above
STORET-1082219566|below_mdl|0|0.15|withdrawn|NA|unresolved_hardness
STORET-1082224618|point|0.201|0.201|withdrawn|NA|unresolved_hardness
STORET-1082229785|point|0.221|0.221|available|113|below_or_equal
STORET-1082233702|point|0.195|0.195|available|119|below_or_equal
STORET-1082659485|point|0.375|0.375|available|88|above
STORET-1082664045|point|0.204|0.204|available|116|below_or_equal
STORET-1082664584|point|0.324|0.324|available|47.4|above
STORET-1082668639|between_mdl_rl|0.045|0.15|available|2.3|above
STORET-1082673777|between_mdl_rl|0.066|0.21|available|121|below_or_equal
STORET-1082677704|point|0.227|0.227|available|112|below_or_equal
STORET-1089959719|point|0.4|0.4|available|84.4|above
STORET-1089962597|point|0.1|0.1|available|52.8|below_or_equal
STORET-1100105663|between_mdl_rl|0.05|0.1|available|84.7|below_or_equal
STORET-1100109159|point|0.16|0.16|available|109|below_or_equal
STORET-1110517716|point|0.2|0.2|available|110|below_or_equal
STORET-1121749500|point|0.11|0.11|available|82.7|below_or_equal
STORET-1121752904|between_mdl_rl|0.05|0.1|available|83.8|below_or_equal
STORET-1124647082|between_mdl_rl|0.05|0.1|available|91.6|below_or_equal
STORET-949212130|below_mdl|0|0.27|available|110|crosses
STORET-949213810|point|0.13|0.13|available|56|below_or_equal
STORET-949217876|point|0.37|0.37|available|62|above
STORET-949228156|point|0.22|0.22|available|35|above
STORET-949232545|point|0.14|0.14|available|120|below_or_equal
STORET-949236745|between_mdl_rl|0.07|0.23|available|47|crosses
STORET-949237472|point|0.67|0.67|available|57|above
STORET-949238733|below_mdl|0|0.18|available|79|below_or_equal
STORET-949242761|point|0.21|0.21|available|110|below_or_equal
STORET-949249580|point|0.23|0.23|available|120|below_or_equal
STORET-949251474|below_mdl|0|0.24|available|120|below_or_equal
STORET-949258908|point|0.35|0.35|available|51|above
STORET-949262920|between_mdl_rl|0.07|0.23|available|91|below_or_equal
STORET-949265973|between_mdl_rl|0.083|0.27|available|86|crosses
STORET-949266002|between_mdl_rl|0.12|0.38|available|100|crosses
STORET-949268645|below_mdl|0|0.12|available|140|below_or_equal
STORET-949272937|between_mdl_rl|0.067|0.22|available|120|below_or_equal
STORET-949299849|between_mdl_rl|0.12|0.38|available|45|crosses
STORET-949307715|below_mdl|0|0.25|available|94|crosses
STORET-949308629|below_mdl|0|0.2|available|56|crosses
STORET-949309855|between_mdl_rl|0.12|0.36|available|120|crosses
STORET-949313905|below_mdl|0|0.17|available|110|below_or_equal
STORET-949347900|between_mdl_rl|0.07|0.23|available|58|crosses
STORET-949351528|below_mdl|0|0.085|available|78|below_or_equal
STORET-949355779|between_mdl_rl|0.2|0.62|available|100|crosses
STORET-949359437|point|0.47|0.47|available|110|above
STORET-949362451|below_mdl|0|0.25|available|97|crosses
STORET-949419747|point|0.28|0.28|available|110|above
STORET-949421226|between_mdl_rl|0.07|0.2|available|47|crosses
