event_id	date	revision	actor	category	html_line	summary
history-967196	2024-01-26	13	Gunter Van de Velde	other_event	1058	Request closed, assignment withdrawn: Jon Mitchell Last Call OPSDIR review
history-967195	2024-01-26	13	Gunter Van de Velde	other_event	1067	Closed request for Last Call review by OPSDIR with state 'Overtaken by Events': Cleaning up stale OPSDIR queue
history-848980	2022-03-04	13	(System)	other_event	1076	RFC Editor state changed to AUTH48-DONE from AUTH48
history-820038	2021-08-05	13	(System)	other_event	1085	RFC Editor state changed to AUTH48
history-816261	2021-07-15	13	(System)	other_event	1094	RFC Editor state changed to RFC-EDITOR from EDIT
history-812744	2021-06-28	13	(System)	iana_administrative_state	1103	IANA Action state changed to RFC-Ed-Ack from Waiting on RFC Editor
history-812502	2021-06-25	13	(System)	iana_administrative_state	1112	IANA Action state changed to Waiting on RFC Editor from In Progress
history-812499	2021-06-25	13	(System)	iana_administrative_state	1121	IANA Action state changed to In Progress from Waiting on Authors
history-812436	2021-06-24	13	(System)	iana_administrative_state	1130	IANA Action state changed to Waiting on Authors from In Progress
history-812166	2021-06-22	13	(System)	other_event	1139	RFC Editor state changed to EDIT
history-812165	2021-06-22	13	(System)	other_event	1148	IESG state changed to RFC Ed Queue from Approved-announcement sent
history-812164	2021-06-22	13	(System)	other_event	1157	Announcement was received by RFC Editor
history-812158	2021-06-22	13	(System)	iana_administrative_state	1166	IANA Action state changed to In Progress
history-812146	2021-06-22	13	(System)	other_event	1175	Removed all action holders (IESG state changed)
history-812145	2021-06-22	13	Cindy Morgan	other_event	1184	IESG state changed to Approved-announcement sent from Approved-announcement to be sent
history-812144	2021-06-22	13	Cindy Morgan	other_event	1193	IESG has approved the document
history-812143	2021-06-22	13	Cindy Morgan	other_event	1202	"Closed ""Approve"" ballot"
history-812142	2021-06-22	13	Cindy Morgan	other_event	1211	Ballot approval text was generated
history-812141	2021-06-22	13	Benjamin Kaduk	other_event	1220	IESG state changed to Approved-announcement to be sent from Approved-announcement to be sent::AD Followup
history-812133	2021-06-22	13	Thomas Fossati	other_event	1229	New version available: draft-ietf-tls-dtls-connection-id-13.txt
history-812132	2021-06-22	13	(System)	other_event	1238	New version approved
